"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Game/ParagonMurdock/FX/Materials/Smoke/DirectionalLit/M_Directional_Lit_DepthSmoke_Master.M_Directional_Lit_DepthSmoke_Master","0","336","10","3","159.798401","0","4376"
"/Game/ParagonMurdock/FX/Materials/VolumeFog/M_Fog_SphericalDensity.M_Fog_SphericalDensity","0","64","15","2","30.265781","0","240"
"/Game/ParagonMurdock/FX/Materials/Flares/m_UltraFlare_Master.m_UltraFlare_Master","0","120","20","2","67.335342","0","630"
"/Game/ParagonMurdock/FX/Materials/Flares/M_AddGlow.M_AddGlow","0","48","14","2","24.642641","0","144"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Game/ParagonMurdock/FX/Materials/Sparks/M_Spark_VelocityLerp_WorldColor.M_Spark_VelocityLerp_WorldColor","0","75","10","1","41.480011","0","569"
"/Game/ParagonMurdock/FX/Materials/Sparks/M_Hotdog_Spark_VLerp_MASTER.M_Hotdog_Spark_VLerp_MASTER","0","24","1","1","11.807382","0","80"
"/Game/ParagonMurdock/FX/Materials/Smoke/Hyperbreach/M_Smoke_Offset_Particles_SubUV_Details_TightDepth_UNLIT.M_Smoke_Offset_Particles_SubUV_Details_TightDepth_UNLIT","0","60","10","1","27.268963","0","322"
"/Game/ParagonMurdock/FX/Materials/Smoke/DirectionalLit/M_ResidualMuzzleSmoke_Master.M_ResidualMuzzleSmoke_Master","0","112","10","1","74.124031","0","964"
"/Game/ParagonMurdock/FX/Materials/HeatDistort/M_Shockwave_Refract.M_Shockwave_Refract","0","70","3","1","32.976570","0","408"
"/Game/ParagonMurdock/FX/Materials/Flares/M_Tri_Test.M_Tri_Test","0","75","10","1","30.052532","0","441"
"/Game/ParagonMurdock/FX/Materials/Flares/M_SuperSoft_Glow.M_SuperSoft_Glow","0","32","10","1","16.352854","0","114"
"/Game/ParagonMurdock/FX/Materials/Flares/M_MuzzleFlare.M_MuzzleFlare","0","24","4","1","12.033909","0","62"
"/Game/ParagonMurdock/FX/Materials/Debris/M_Explosion_RockChunks.M_Explosion_RockChunks","0","177","2","1","138.000443","0","2043"
"/Game/ParagonMurdock/FX/Materials/Smoke/Hyperbreach/M_Smoke_Offset_Particles_SubUV_LIT.M_Smoke_Offset_Particles_SubUV_LIT","0","142","3","1","91.632263","0","1363"
"/Game/ParagonMurdock/FX/Materials/Sparks/M_Hotdog_Spark_VLerp_DOF_Rand_ScaleDistanceMaster.M_Hotdog_Spark_VLerp_DOF_Rand_ScaleDistanceMaster","0","45","11","1","24.039400","0","192"
"/Game/ParagonMurdock/FX/Materials/Smoke/Trails/M_TrailSmoke.M_TrailSmoke","0","90","10","1","59.068001","0","559"
"/Game/ParagonMurdock/FX/Materials/Smoke/Hyperbreach/M_Smoke_Offset_Particles_SubUV_Details_UNLIT.M_Smoke_Offset_Particles_SubUV_Details_UNLIT","0","60","7","1","27.247953","0","287"
"/Game/ParagonMurdock/FX/Materials/Shells/M_Plasma_Shot_Shell.M_Plasma_Shot_Shell","0","48","10","1","29.477730","0","180"
"/Game/ParagonMurdock/FX/Materials/Flares/M_Murdock_Muzzle_Flash.M_Murdock_Muzzle_Flash","0","40","10","1","21.671284","0","164"
"/Game/ParagonMurdock/FX/Materials/HeatDistort/M_SteelImpactRefraction.M_SteelImpactRefraction","0","128","5","1","76.900055","0","1114"
"/Game/ParagonMurdock/FX/Materials/Flares/M_SuperSoft_Glow_LDR.M_SuperSoft_Glow_LDR","0","32","10","1","15.526130","0","112"
"/Game/ParagonMurdock/FX/Materials/Flares/M_PH_Orb_FlatFlareEdge.M_PH_Orb_FlatFlareEdge","0","32","10","1","15.866440","0","114"
"/Game/ParagonMurdock/FX/Materials/Smoke/Spline/M_Smoke_SplineMesh_Trail.M_Smoke_SplineMesh_Trail","0","72","3","1","53.336594","0","377"
"/Game/ParagonMurdock/FX/Meshes/Splines/M_Spline_Preview.M_Spline_Preview","0","170","3","1","87.837318","0","1796"
"/Game/ParagonMurdock/FX/Materials/HeroSpecific/M_Shield_Startup_Hex.M_Shield_Startup_Hex","0","40","2","1","17.626497","0","144"
"/Game/ParagonMurdock/FX/Materials/HeroSpecific/M_Shield_Hex.M_Shield_Hex","0","48","10","1","21.298912","0","186"
"/Game/ParagonMurdock/Characters/Heroes/Murdock/Materials/M_Murdock_Head.M_Murdock_Head","0","92","10","1","98.244125","92","1272"
"/Game/ParagonMurdock/Characters/Global/Eyes/Materials/M_EyeRefractive.M_EyeRefractive","0","165","10","1","251.963226","165","4155"
"/Game/ParagonMurdock/Characters/Heroes/Murdock/Materials/M_Murdock_Glass.M_Murdock_Glass","0","120","10","1","140.055801","120","2144"
"/Game/ParagonMurdock/Characters/Heroes/Murdock/Skins/CS_MatteBlack/Materials/M_Price_Weapons_Black.M_Price_Weapons_Black","0","92","3","1","113.087624","92","1469"
"/Game/ParagonMurdock/Characters/Heroes/Murdock/Skins/CS_MatteBlack/Materials/M_Price_Legs_Black.M_Price_Legs_Black","0","101","8","1","184.634735","202","2520"
"/Game/ParagonMurdock/Characters/Heroes/Murdock/Skins/CS_MatteBlack/Materials/M_Price_Body_Black.M_Price_Body_Black","0","92","10","1","168.762604","184","2274"
"/Game/ParagonMurdock/Characters/Heroes/Murdock/Skins/CS_MatteBlack/Materials/M_Price_Arms_Black.M_Price_Arms_Black","0","92","7","1","123.417572","92","1477"
"/Game/ParagonMurdock/Characters/Global/Mouth/Materials/M_Mouth_Master.M_Mouth_Master","0","105","10","1","120.464050","105","1569"
"/Game/ParagonMurdock/Characters/Global/Eyes/Materials/M_TearLine.M_TearLine","0","193","2","1","957.094849","193","6058"
"/Game/ParagonMurdock/Characters/Global/Eyes/Materials/M_TearDuct_2.M_TearDuct_2","0","165","1","1","231.402222","165","3952"
"/Game/ParagonMurdock/Characters/Global/Eyes/Materials/M_Eye_Occlusion.M_Eye_Occlusion","0","75","2","1","102.259697","75","1292"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","46","21","1","22.846352","0","183"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Materials/WallMaterial.WallMaterial","0","63","10","1","34.251099","0","319"
